type,bounding_box,begin_time,end_time,details,span
Flood,1278_685_1322_738,2020-07-01 00:00:00,2020-07-04 00:00:00,Flood 2020070100 2020073123,3 days 04:00:00
Flood,853_757_903_828,2020-07-01 00:00:00,2020-07-04 00:00:00,Flood 2020070100 2020073123,3 days 04:00:00
Flash_Flood+Flood,830_860_929_910,2020-07-01 00:00:00,2020-07-03 20:00:00,"Flash_Flood 2020070100 2020070105,Flood 2020070109 2020070320",3 days 00:00:00
Thunderstorm_Wind,892_602_964_689,2020-07-01 00:00:00,2020-07-01 12:00:00,Thunderstorm_Wind 2020070100 2020070112,0 days 16:00:00
Flood,1189_481_1229_521,2020-07-01 00:00:00,2020-07-01 14:00:00,Flood 2020070100 2020070114,0 days 18:00:00
Wind,1414_519_1461_565,2020-07-01 00:00:00,2020-07-01 00:00:00,,0 days 04:00:00
Hail+Tornado,762_466_821_551,2020-07-01 00:00:00,2020-07-01 00:00:00,,0 days 04:00:00
Flood,1062_395_1105_438,2020-07-01 00:00:00,2020-07-04 00:00:00,Flood 2020070100 2020072107,3 days 04:00:00
Wind,1119_305_1193_375,2020-07-01 00:00:00,2020-07-01 00:00:00,,0 days 04:00:00
Flood,1135_743_1183_802,2020-07-01 00:00:00,2020-07-04 00:00:00,Flood 2020070100 2020073123,3 days 04:00:00
Flood,854_678_920_778,2020-07-01 00:00:00,2020-07-04 00:00:00,Flood 2020070100 2020073123,3 days 04:00:00
Wind,1125_283_1183_336,2020-07-01 01:00:00,2020-07-01 01:00:00,,0 days 04:00:00
Wind,1417_508_1463_558,2020-07-01 01:00:00,2020-07-01 01:00:00,,0 days 04:00:00
Flash_Flood+Thunderstorm_Wind,1109_394_1199_460,2020-07-01 02:00:00,2020-07-01 15:00:00,"Flash_Flood 2020070102 2020070108,Thunderstorm_Wind 2020070115 2020070115",0 days 17:00:00
Thunderstorm_Wind,915_773_959_817,2020-07-01 02:00:00,2020-07-01 02:00:00,Thunderstorm_Wind 2020070102 2020070102,0 days 04:00:00
Thunderstorm_Wind,909_799_969_848,2020-07-01 02:00:00,2020-07-01 03:00:00,Thunderstorm_Wind 2020070102 2020070103,0 days 05:00:00
Hail+Thunderstorm_Wind,955_529_1022_598,2020-07-01 03:00:00,2020-07-01 04:00:00,"Hail 2020070104 2020070104,Thunderstorm_Wind 2020070103 2020070104",0 days 05:00:00
