type,bounding_box,begin_time,end_time,details
Hail+Thunderstorm_Wind,1485_629_1552_709,2020-08-28 14:00:00,2020-08-28 15:00:00,"Hail 2020082815 2020082815,Thunderstorm_Wind 2020082814 2020082815"
Thunderstorm_Wind,1486_655_1536_717,2020-08-29 17:00:00,2020-08-29 18:00:00,Thunderstorm_Wind 2020082917 2020082918
Hail+Thunderstorm_Wind,1024_622_1111_706,2020-07-11 08:00:00,2020-07-11 18:00:00,"Hail 2020071108 2020071118,Thunderstorm_Wind 2020071108 2020071118"
Flash_Flood+Flood+Tornado,864_36_923_105,2020-07-25 20:00:00,2020-07-31 23:00:00,"Flash_Flood 2020072520 2020072618,Flood 2020072604 2020073123,Tornado 2020072602 2020072602"
Waterspout,1778_0_1798_20,2020-10-07 16:00:00,2020-10-07 16:00:00,Waterspout 2020100716 2020100716
Flood,1778_0_1798_20,2020-10-13 15:00:00,2020-10-13 18:00:00,Flood 2020101315 2020101318
Flash_Flood,1778_0_1798_20,2020-10-14 14:00:00,2020-10-14 16:00:00,Flash_Flood 2020101414 2020101416
Flash_Flood,1778_0_1798_20,2020-10-16 15:00:00,2020-10-17 12:00:00,Flash_Flood 2020101615 2020101712
Debris_Flow+Flash_Flood+Flood,1778_0_1798_20,2020-10-18 15:00:00,2020-10-18 23:00:00,"Debris_Flow 2020101816 2020101818,Flash_Flood 2020101815 2020101818,Flood 2020101820 2020101823"
Flood,1778_0_1798_20,2020-11-10 16:00:00,2020-11-10 17:00:00,Flood 2020111016 2020111017
Waterspout,1778_0_1798_20,2020-11-17 13:00:00,2020-11-17 14:00:00,Waterspout 2020111713 2020111714
Flash_Flood+Flood+Tornado,1488_625_1553_719,2020-08-04 06:00:00,2020-08-04 14:00:00,"Flash_Flood 2020080406 2020080414,Flood 2020080411 2020080413,Tornado 2020080409 2020080410"
Hail+Thunderstorm_Wind,1556_764_1621_823,2020-07-23 16:00:00,2020-07-23 20:00:00,"Hail 2020072316 2020072317,Thunderstorm_Wind 2020072317 2020072320"
Hail,1138_779_1178_820,2020-08-10 13:00:00,2020-08-10 13:00:00,Hail 2020081013 2020081013
Hail+Thunderstorm_Wind,1104_787_1180_877,2020-08-21 14:00:00,2020-08-21 20:00:00,"Hail 2020082116 2020082120,Thunderstorm_Wind 2020082114 2020082115"
Hail+Lightning,1146_794_1211_845,2020-08-26 03:00:00,2020-08-26 08:00:00,"Hail 2020082608 2020082608,Lightning 2020082603 2020082603"
Tornado,1148_793_1189_834,2020-08-31 16:00:00,2020-08-31 16:00:00,Tornado 2020083116 2020083116
Marine_Thunderstorm_Wind,1102_819_1177_884,2020-08-09 18:00:00,2020-08-09 22:00:00,Marine_Thunderstorm_Wind 2020080918 2020080922
Marine_Thunderstorm_Wind,1149_791_1192_834,2020-08-16 16:00:00,2020-08-16 16:00:00,Marine_Thunderstorm_Wind 2020081616 2020081616
Marine_Hail,1170_804_1211_845,2020-08-26 08:00:00,2020-08-26 08:00:00,Marine_Hail 2020082608 2020082608
Marine_Thunderstorm_Wind,1433_183_1488_232,2020-12-20 22:00:00,2020-12-20 23:00:00,Marine_Thunderstorm_Wind 2020122022 2020122023
Hail+Thunderstorm_Wind,438_348_481_390,2020-09-08 17:00:00,2020-09-08 17:00:00,"Hail 2020090817 2020090817,Thunderstorm_Wind 2020090817 2020090817"
Thunderstorm_Wind+Tornado,1078_369_1133_467,2020-08-27 16:00:00,2020-08-27 20:00:00,"Thunderstorm_Wind 2020082716 2020082720,Tornado 2020082717 2020082720"
Flash_Flood+Flood,1778_0_1798_20,2020-09-09 13:00:00,2020-09-09 16:00:00,"Flash_Flood 2020090913 2020090916,Flood 2020090913 2020090915"
Hail+Heavy_Rain+Thunderstorm_Wind,592_331_692_478,2020-07-31 06:00:00,2020-07-31 18:00:00,"Hail 2020073113 2020073118,Heavy_Rain 2020073106 2020073107,Thunderstorm_Wind 2020073116 2020073118"
Lightning,1139_371_1181_413,2020-08-21 01:00:00,2020-08-21 01:00:00,Lightning 2020082101 2020082101
Flash_Flood,1778_0_1798_20,2020-09-13 17:00:00,2020-09-13 22:00:00,Flash_Flood 2020091317 2020091322
Lightning,1136_428_1176_468,2020-08-22 12:00:00,2020-08-22 12:00:00,Lightning 2020082212 2020082212
Marine_Thunderstorm_Wind,1436_143_1485_240,2020-10-20 23:00:00,2020-10-21 02:00:00,Marine_Thunderstorm_Wind 2020102023 2020102102
Thunderstorm_Wind,1503_656_1559_716,2020-08-27 18:00:00,2020-08-27 20:00:00,Thunderstorm_Wind 2020082718 2020082720
Thunderstorm_Wind,1481_647_1540_707,2020-08-27 19:00:00,2020-08-27 19:00:00,Thunderstorm_Wind 2020082719 2020082719
Thunderstorm_Wind,1489_606_1533_667,2020-08-28 13:00:00,2020-08-28 16:00:00,Thunderstorm_Wind 2020082813 2020082816
Thunderstorm_Wind,1510_632_1572_721,2020-08-03 18:00:00,2020-08-03 20:00:00,Thunderstorm_Wind 2020080318 2020080320
Thunderstorm_Wind,1498_629_1538_669,2020-08-23 20:00:00,2020-08-23 20:00:00,Thunderstorm_Wind 2020082320 2020082320
Thunderstorm_Wind,1489_626_1534_675,2020-08-23 19:00:00,2020-08-23 20:00:00,Thunderstorm_Wind 2020082319 2020082320
Hail,476_344_519_386,2020-08-01 16:00:00,2020-08-01 16:00:00,Hail 2020080116 2020080116
Thunderstorm_Wind,1511_620_1551_662,2020-08-23 15:00:00,2020-08-23 15:00:00,Thunderstorm_Wind 2020082315 2020082315
Lightning+Thunderstorm_Wind,1491_659_1536_714,2020-08-24 15:00:00,2020-08-24 17:00:00,"Lightning 2020082416 2020082416,Thunderstorm_Wind 2020082415 2020082417"
Thunderstorm_Wind,1487_594_1533_663,2020-08-25 17:00:00,2020-08-25 20:00:00,Thunderstorm_Wind 2020082517 2020082520
Hail+Thunderstorm_Wind,1510_612_1554_735,2020-08-25 15:00:00,2020-08-25 18:00:00,"Hail 2020082517 2020082517,Thunderstorm_Wind 2020082515 2020082518"
Flash_Flood,1478_647_1526_696,2020-08-02 04:00:00,2020-08-02 07:00:00,Flash_Flood 2020080204 2020080207
Thunderstorm_Wind,297_289_507_448,2020-08-16 17:00:00,2020-08-16 20:00:00,Thunderstorm_Wind 2020081617 2020081620
Flash_Flood,1505_627_1551_673,2020-08-29 11:00:00,2020-08-29 14:00:00,Flash_Flood 2020082911 2020082914
Thunderstorm_Wind,1505_596_1545_655,2020-08-28 14:00:00,2020-08-28 17:00:00,Thunderstorm_Wind 2020082814 2020082817
Flash_Flood,404_347_450_392,2020-07-23 15:00:00,2020-07-23 19:00:00,Flash_Flood 2020072315 2020072319
Flash_Flood,1500_598_1539_672,2020-08-12 13:00:00,2020-08-12 17:00:00,Flash_Flood 2020081213 2020081217
Flash_Flood,1509_632_1552_682,2020-08-12 12:00:00,2020-08-12 16:00:00,Flash_Flood 2020081212 2020081216
Flash_Flood,1487_628_1544_681,2020-08-12 13:00:00,2020-08-12 16:00:00,Flash_Flood 2020081213 2020081216
Flash_Flood,1517_656_1557_698,2020-08-13 07:00:00,2020-08-13 09:00:00,Flash_Flood 2020081307 2020081309
Flash_Flood,1505_652_1547_696,2020-08-13 08:00:00,2020-08-13 10:00:00,Flash_Flood 2020081308 2020081310
Flash_Flood,1484_596_1528_638,2020-08-13 09:00:00,2020-08-13 12:00:00,Flash_Flood 2020081309 2020081312
Thunderstorm_Wind,1500_617_1576_697,2020-08-28 15:00:00,2020-08-28 16:00:00,Thunderstorm_Wind 2020082815 2020082816
Thunderstorm_Wind+Tornado,1448_409_1521_464,2020-12-24 12:00:00,2020-12-24 22:00:00,"Thunderstorm_Wind 2020122422 2020122422,Tornado 2020122412 2020122412"
Flood+Hail+Thunderstorm_Wind,544_279_659_355,2020-09-08 14:00:00,2020-09-09 16:00:00,"Flood 2020090909 2020090916,Hail 2020090814 2020090815,Thunderstorm_Wind 2020090814 2020090817"
Marine_Thunderstorm_Wind,1425_178_1478_245,2020-08-15 16:00:00,2020-08-15 18:00:00,Marine_Thunderstorm_Wind 2020081516 2020081518
Thunderstorm_Wind,1408_185_1449_226,2020-08-17 13:00:00,2020-08-17 13:00:00,Thunderstorm_Wind 2020081713 2020081713
Hail+Thunderstorm_Wind,806_338_943_416,2020-08-16 14:00:00,2020-08-16 16:00:00,"Hail 2020081614 2020081616,Thunderstorm_Wind 2020081615 2020081616"
Marine_Thunderstorm_Wind,1434_171_1476_224,2020-08-04 13:00:00,2020-08-04 14:00:00,Marine_Thunderstorm_Wind 2020080413 2020080414
Marine_Thunderstorm_Wind+Waterspout,1428_142_1490_260,2020-08-19 14:00:00,2020-08-19 15:00:00,"Marine_Thunderstorm_Wind 2020081914 2020081914,Waterspout 2020081914 2020081915"
Marine_Thunderstorm_Wind+Waterspout,1425_179_1476_245,2020-08-16 15:00:00,2020-08-16 15:00:00,"Marine_Thunderstorm_Wind 2020081615 2020081615,Waterspout 2020081615 2020081615"
Marine_Thunderstorm_Wind,1424_187_1474_242,2020-08-13 15:00:00,2020-08-13 15:00:00,Marine_Thunderstorm_Wind 2020081315 2020081315
Marine_Thunderstorm_Wind,1446_145_1491_209,2020-08-23 18:00:00,2020-08-23 21:00:00,Marine_Thunderstorm_Wind 2020082318 2020082321
Marine_Thunderstorm_Wind,1422_181_1475_249,2020-08-29 16:00:00,2020-08-29 17:00:00,Marine_Thunderstorm_Wind 2020082916 2020082917
Marine_Thunderstorm_Wind,1420_184_1475_247,2020-08-30 11:00:00,2020-08-30 11:00:00,Marine_Thunderstorm_Wind 2020083011 2020083011
Thunderstorm_Wind,802_327_895_398,2020-08-16 17:00:00,2020-08-16 19:00:00,Thunderstorm_Wind 2020081617 2020081619
Marine_Thunderstorm_Wind,1422_179_1475_249,2020-08-07 17:00:00,2020-08-07 18:00:00,Marine_Thunderstorm_Wind 2020080717 2020080718
Marine_Thunderstorm_Wind,1418_204_1461_248,2020-08-21 16:00:00,2020-08-21 16:00:00,Marine_Thunderstorm_Wind 2020082116 2020082116
Marine_Thunderstorm_Wind,1454_143_1497_188,2020-08-01 16:00:00,2020-08-01 16:00:00,Marine_Thunderstorm_Wind 2020080116 2020080116
Hail+Thunderstorm_Wind,807_371_938_500,2020-08-10 17:00:00,2020-08-13 00:00:00,"Hail 2020081300 2020081300,Thunderstorm_Wind 2020081017 2020081023"
Flood,1778_0_1798_20,2020-09-21 16:00:00,2020-09-21 17:00:00,Flood 2020092116 2020092117
Thunderstorm_Wind+Tornado,1176_223_1218_267,2020-10-10 03:00:00,2020-10-10 04:00:00,"Thunderstorm_Wind 2020101003 2020101003,Tornado 2020101004 2020101004"
Funnel_Cloud,1778_0_1798_20,2020-09-30 17:00:00,2020-09-30 17:00:00,Funnel_Cloud 2020093017 2020093017
Marine_Thunderstorm_Wind,1454_147_1495_188,2020-10-25 22:00:00,2020-10-25 22:00:00,Marine_Thunderstorm_Wind 2020102522 2020102522
Flood+Heavy_Rain,1778_0_1798_20,2020-09-07 12:00:00,2020-09-07 16:00:00,"Flood 2020090714 2020090716,Heavy_Rain 2020090712 2020090712"
